episode,stage,stage_name,task,success,first_seen,expected_repeat,post_recovery,wall_ms,planner_ms,consolidation_ms,executor_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,repair,structural_change,permanent_words,provisional_words,structure_bytes,uniform
53,1,single_user_alpha,daily_file,1,0,1,0,0.089033,0.003943,0.000041,0.084880,0.097000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
54,1,single_user_alpha,daily_hash,1,0,1,0,12.871084,0.003422,0.000559,12.866913,2.736000,11.053000,4864,0,4096,1,0,0,0,1,6,755,1
55,1,single_user_alpha,daily_http,1,0,1,0,1.055797,0.046020,0.000389,1.009201,1.079000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
56,1,single_user_alpha,daily_state,1,0,1,0,0.253219,0.005503,0.000100,0.247441,0.276000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
57,1,single_user_alpha,daily_ipc,1,0,1,0,0.442187,0.003890,0.000184,0.437931,0.446000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
58,1,single_user_alpha,daily_proc,1,0,1,0,0.135871,0.004844,0.000033,0.130817,0.146000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
59,1,single_user_alpha,daily_timer,1,0,1,0,2.362488,0.003372,0.000211,2.358727,0.288000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
60,1,single_user_alpha,daily_file,1,0,1,0,0.093553,0.004041,0.000057,0.089292,0.036000,0.065000,4864,0,4096,1,0,0,0,1,6,755,1
61,1,single_user_alpha,daily_hash,1,0,1,0,12.841720,0.003639,0.000503,12.837244,12.110000,1.143000,4864,0,4096,1,0,0,0,1,6,755,1
62,1,single_user_alpha,daily_http,1,0,1,0,1.055014,0.045362,0.000482,1.008905,0.000000,1.085000,4864,0,4096,1,0,0,0,1,6,755,1
63,1,single_user_alpha,daily_state,1,0,1,0,0.125769,0.005318,0.000063,0.120219,0.000000,0.145000,4864,0,4096,1,0,0,0,1,6,755,1
64,1,single_user_alpha,daily_ipc,1,0,1,0,0.493484,0.003572,0.000168,0.489576,0.000000,0.501000,4864,0,4096,1,0,0,0,1,6,755,1
65,1,single_user_alpha,daily_proc,1,0,1,0,0.122871,0.004809,0.000077,0.117825,0.000000,0.139000,4864,0,4096,1,0,0,0,1,6,755,1
66,1,single_user_alpha,daily_timer,1,0,1,0,2.308815,0.004073,0.000086,2.304492,0.000000,0.245000,4864,0,4096,1,0,0,0,1,6,755,1
67,1,single_user_alpha,daily_file,1,0,1,0,0.126752,0.003732,0.000067,0.122696,0.000000,0.133000,4864,0,4096,1,0,0,0,1,6,755,1
68,1,single_user_alpha,daily_hash,1,0,1,0,13.701991,0.003505,0.000488,13.697796,8.222000,6.030000,4864,0,4096,1,0,0,0,1,6,755,1
69,1,single_user_alpha,daily_http,1,0,1,0,1.108520,0.101048,0.000457,1.006826,0.000000,1.081000,4864,0,4096,1,0,0,0,1,6,755,1
70,1,single_user_alpha,daily_state,1,0,1,0,0.194542,0.004965,0.000122,0.189283,0.000000,0.203000,4864,0,4096,1,0,0,0,1,6,755,1
71,1,single_user_alpha,daily_ipc,1,0,1,0,0.524046,0.003621,0.000186,0.519976,0.000000,0.537000,4864,0,4096,1,0,0,0,1,6,755,1
72,1,single_user_alpha,daily_proc,1,0,1,0,0.180881,0.004852,0.000087,0.175775,0.000000,0.191000,4864,0,4096,1,0,0,0,1,6,755,1
73,1,single_user_alpha,daily_timer,1,0,1,0,2.379016,0.003587,0.000087,2.375181,0.000000,0.307000,4864,0,4096,1,0,0,0,1,6,755,1
74,1,single_user_alpha,daily_file,1,0,1,0,0.143114,0.003907,0.000056,0.138976,0.000000,0.150000,4864,0,4096,1,0,0,0,1,6,755,1
75,1,single_user_alpha,daily_hash,1,0,1,0,12.891541,0.003848,0.000509,12.886911,6.394000,6.916000,4864,0,4096,1,0,0,0,1,6,755,1
76,1,single_user_alpha,daily_http,1,0,1,0,1.018764,0.046885,0.000497,0.971195,0.322000,0.725000,4864,0,4096,1,0,0,0,1,6,755,1
77,1,single_user_alpha,daily_state,1,0,1,0,0.171327,0.005610,0.000176,0.165359,0.062000,0.140000,4864,0,4096,1,0,0,0,1,6,755,1
78,1,single_user_alpha,daily_ipc,1,0,1,0,0.498396,0.004420,0.000194,0.493603,0.165000,0.371000,4864,0,4096,1,0,0,0,1,6,755,1
79,1,single_user_alpha,daily_proc,1,0,1,0,0.135033,0.004714,0.000035,0.130114,0.044000,0.100000,4864,0,4096,1,0,0,0,1,6,755,1
80,1,single_user_alpha,daily_timer,1,0,1,0,2.417348,0.004054,0.000237,2.412895,0.095000,0.215000,4864,0,4096,1,0,0,0,1,6,755,1
81,1,single_user_alpha,daily_file,1,0,1,0,0.200687,0.004490,0.000070,0.195957,0.065000,0.145000,4864,0,4096,1,0,0,0,1,6,755,1
82,1,single_user_alpha,daily_hash,1,0,1,0,14.406553,0.003996,0.000653,14.401638,6.976000,7.878000,4864,0,4096,1,0,0,0,1,6,755,1
83,1,single_user_alpha,daily_http,1,0,1,0,0.990485,0.046378,0.000390,0.943526,0.315000,0.709000,4864,0,4096,1,0,0,0,1,6,755,1
84,1,single_user_alpha,daily_state,1,0,1,0,0.259025,0.033618,0.000144,0.225071,0.082000,0.185000,4864,0,4096,1,0,0,0,1,6,755,1
85,1,single_user_alpha,daily_ipc,1,0,1,0,0.584234,0.003759,0.000198,0.580106,0.174000,0.392000,4864,0,4096,1,0,0,0,1,6,755,1
86,1,single_user_alpha,daily_proc,1,0,1,0,0.196856,0.033006,0.000070,0.163610,0.062000,0.141000,4864,0,4096,1,0,0,0,1,6,755,1
87,1,single_user_alpha,daily_timer,1,0,1,0,2.311999,0.003877,0.000088,2.307879,0.075000,0.170000,4864,0,4096,1,0,0,0,1,6,755,1
88,1,single_user_alpha,daily_file,1,0,1,0,0.139294,0.003888,0.000080,0.135155,0.045000,0.101000,4864,0,4096,1,0,0,0,1,6,755,1
89,1,single_user_alpha,daily_hash,1,0,1,0,12.590841,0.003729,0.000524,12.586263,8.000000,5.201000,4864,0,4096,1,0,0,0,1,6,755,1
90,1,single_user_alpha,daily_http,1,0,1,0,0.983399,0.085359,0.000402,0.897353,0.000000,1.013000,4864,0,4096,1,0,0,0,1,6,755,1
91,1,single_user_alpha,daily_state,1,0,1,0,0.117865,0.005177,0.000048,0.112464,0.000000,0.137000,4864,0,4096,1,0,0,0,1,6,755,1
92,1,single_user_alpha,daily_ipc,1,0,1,0,0.595422,0.003885,0.000195,0.591177,0.000000,0.576000,4864,0,4096,1,0,0,0,1,6,755,1
93,1,single_user_alpha,daily_proc,1,0,1,0,0.161880,0.004745,0.000057,0.156907,0.000000,0.169000,4864,0,4096,1,0,0,0,1,6,755,1
94,1,single_user_alpha,daily_timer,1,0,1,0,2.310028,0.003605,0.000084,2.306174,0.000000,0.254000,4864,0,4096,1,0,0,0,1,6,755,1
95,1,single_user_alpha,daily_file,1,0,1,0,0.085766,0.003909,0.000055,0.081633,0.000000,0.093000,4864,0,4096,1,0,0,0,1,6,755,1
96,1,single_user_alpha,daily_hash,1,0,1,0,11.754710,0.050016,0.000388,11.703872,10.539000,1.620000,4864,0,4096,1,0,0,0,1,6,755,1
97,1,single_user_alpha,daily_http,1,0,1,0,0.836823,0.043967,0.000433,0.792156,0.866000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
98,1,single_user_alpha,daily_state,1,0,1,0,0.121061,0.005168,0.000077,0.115647,0.141000,0.000000,4864,0,8192,1,0,0,0,1,6,755,1
99,1,single_user_alpha,daily_ipc,1,0,1,0,0.459062,0.003619,0.000171,0.455100,0.469000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
100,1,single_user_alpha,daily_proc,1,0,1,0,0.130182,0.004856,0.000047,0.125121,0.103000,0.036000,4864,0,4096,1,0,0,0,1,6,756,1
101,1,single_user_alpha,daily_timer,1,0,1,0,2.311340,0.003933,0.000085,2.307157,0.081000,0.178000,4864,0,4096,1,0,0,0,1,6,757,1
102,1,single_user_alpha,daily_file,1,0,1,0,0.082395,0.004035,0.000055,0.078135,0.028000,0.062000,4864,0,4096,1,0,0,0,1,6,758,1
103,1,single_user_alpha,daily_hash,1,0,1,0,11.339410,0.003703,0.000381,11.335086,1.593000,10.226000,4864,0,4096,1,0,0,0,1,6,759,1
104,1,single_user_alpha,daily_http,1,0,1,0,0.848375,0.044927,0.000451,0.802801,0.871000,0.000000,4864,0,4096,1,0,0,0,1,6,760,1
105,1,single_user_alpha,daily_state,1,0,1,0,0.116479,0.005479,0.000051,0.110784,0.162000,0.000000,4864,0,4096,1,0,0,0,1,6,761,1
106,1,single_user_alpha,daily_ipc,1,0,1,0,0.421845,0.003933,0.000208,0.417532,0.427000,0.000000,4864,0,4096,1,0,0,0,1,6,762,1
107,1,single_user_alpha,daily_proc,1,0,1,0,0.196949,0.030477,0.000142,0.166159,0.204000,0.000000,4864,0,4096,1,0,0,0,1,6,762,1
108,1,single_user_alpha,daily_timer,1,0,1,0,2.268160,0.004320,0.000087,2.263592,0.216000,0.054000,4864,0,4096,1,0,0,0,1,6,762,1
109,2,connected_alpha,connected_00,1,1,0,0,0.336986,0.147925,0.096434,0.092434,0.120000,0.225000,4864,0,4096,3,0,0,2,1,7,787,1
110,2,connected_alpha,connected_01,1,1,0,0,0.590317,0.029235,0.128930,0.431971,0.208000,0.393000,4864,0,4096,5,0,0,2,1,8,832,1
111,2,connected_alpha,connected_02,1,1,0,0,12.583290,0.021372,0.471367,12.090293,7.999000,5.039000,4864,0,4096,2,0,0,1,1,8,857,1
112,2,connected_alpha,connected_03,1,1,0,0,0.320440,0.110048,0.103859,0.106358,0.117000,0.220000,4864,0,4096,2,0,0,2,1,9,874,1
113,2,connected_alpha,connected_04,1,1,0,0,0.610129,0.053707,0.094932,0.461278,0.216000,0.407000,4864,0,4096,4,0,0,2,1,10,901,1
114,2,connected_alpha,connected_05,1,1,0,0,0.490797,0.033321,0.108110,0.349152,0.000000,0.483000,4872,0,4096,4,0,0,3,1,10,944,1
115,2,connected_alpha,connected_06,1,1,0,0,2.468382,0.030034,0.105480,2.332676,0.000000,0.405000,4872,0,4096,3,0,0,2,1,11,969,1
116,2,connected_alpha,connected_07,1,1,0,0,0.942747,0.030960,0.153580,0.757980,0.844000,0.000000,4880,0,4096,4,0,0,2,1,12,1002,1
117,2,connected_alpha,connected_08,1,1,0,0,11.346064,0.031470,0.629157,10.685185,6.673000,5.140000,4880,0,4096,4,0,0,3,1,12,1017,1
118,2,connected_alpha,connected_09,1,1,0,0,0.539793,0.112328,0.101535,0.325716,0.000000,0.530000,4884,0,4096,5,0,0,2,1,13,1029,1
119,2,connected_alpha,connected_10,1,1,0,0,0.326682,0.052263,0.107237,0.166987,0.000000,0.336000,4892,0,4096,3,0,0,2,2,13,1044,1
120,2,connected_alpha,connected_11,1,1,0,0,2.592792,0.033904,0.240255,2.318434,0.000000,0.529000,4892,0,4096,4,0,0,3,2,13,1115,1
121,2,connected_alpha,connected_12,1,1,0,0,0.367322,0.034574,0.245380,0.087162,0.000000,0.376000,4892,0,4096,2,0,0,2,2,14,1135,1
122,2,connected_alpha,connected_13,1,1,0,0,1.030055,0.032485,0.280999,0.716350,1.032000,0.000000,4920,0,4096,2,0,0,2,2,15,1155,1
123,2,connected_alpha,connected_14,1,1,0,0,12.445747,0.026327,0.828357,11.590798,5.502000,7.425000,4920,0,4096,2,0,0,3,3,15,1165,1
124,2,connected_alpha,connected_15,1,1,0,0,0.634941,0.139610,0.410465,0.084674,0.242000,0.408000,4920,0,4096,2,0,0,2,3,16,1232,1
125,2,connected_alpha,connected_16,1,1,0,0,0.880294,0.073909,0.382493,0.423685,0.331000,0.556000,4920,0,4096,3,0,0,2,3,17,1248,1
126,2,connected_alpha,connected_17,1,1,0,0,0.797837,0.038598,0.405199,0.353812,0.000000,0.752000,4920,0,4096,3,0,0,3,4,17,1267,1
127,2,connected_alpha,connected_18,1,1,0,0,2.616068,0.038965,0.460656,2.116238,0.000000,0.752000,4920,0,4096,2,0,0,2,4,18,1339,1
128,2,connected_alpha,connected_19,1,1,0,0,1.445203,0.075714,0.494631,0.874638,0.000000,1.329000,4928,0,4096,3,0,0,2,4,19,1353,1
129,2,connected_alpha,connected_20,1,1,0,0,18.669228,0.039403,7.095235,11.534281,4.993000,13.974000,4928,0,4096,3,0,0,2,4,20,1368,1
130,2,connected_alpha,connected_21,1,1,0,0,0.911205,0.146660,0.382146,0.382185,0.000000,1.109000,4928,0,4096,4,0,0,2,5,20,1380,1
131,2,connected_alpha,connected_22,1,1,0,0,0.995947,0.074557,0.680881,0.240278,0.000000,1.007000,4936,0,4096,2,0,0,1,5,20,1450,1
132,2,connected_alpha,connected_23,1,1,0,0,2.995982,0.046015,0.640536,2.309228,0.000000,1.076000,4936,0,4096,3,0,0,1,5,20,1472,1
133,2,connected_alpha,connected_24,1,1,0,0,1.061821,0.168261,0.774158,0.119197,0.343000,0.729000,4936,0,4096,1,0,0,3,6,20,1492,1
134,2,connected_alpha,connected_25,1,1,0,0,1.516070,0.048128,0.824073,0.643642,0.000000,1.522000,4960,0,4096,1,0,0,1,6,20,1534,1
135,2,connected_alpha,connected_26,1,1,0,0,14.157864,0.039256,1.368577,12.749765,0.420000,14.423000,4960,0,4096,1,0,0,1,6,20,1544,1
136,2,connected_alpha,connected_27,1,1,0,0,1.291374,0.286003,0.910500,0.094644,1.318000,0.000000,4960,0,4096,1,0,0,1,6,20,1559,1
137,2,connected_alpha,connected_28,1,1,0,0,1.360472,0.115299,0.733172,0.511783,1.236000,0.000000,4960,0,4096,3,0,0,2,7,20,1575,1
138,2,connected_alpha,connected_29,1,1,0,0,1.456066,0.053696,1.110666,0.291479,1.615000,0.000000,4960,0,4096,1,0,0,1,7,20,1663,1
139,2,connected_alpha,connected_30,1,1,0,0,3.662256,0.097752,1.263215,2.301061,1.651000,0.000000,4960,0,4096,1,0,0,3,8,20,1689,1
140,2,connected_alpha,connected_31,1,1,0,0,1.760344,0.052004,0.993035,0.715085,1.713000,0.000000,4964,0,4096,1,0,0,1,8,20,1733,1
141,2,connected_alpha,connected_32,1,1,0,0,17.352851,0.053927,1.507037,15.791608,13.225000,4.523000,4964,0,4096,1,0,0,1,8,20,1748,1
142,2,connected_alpha,connected_33,1,1,0,0,1.652148,0.206025,0.886435,0.559477,1.854000,0.000000,4964,0,4096,3,0,0,1,8,20,1760,1
143,2,connected_alpha,connected_34,1,1,0,0,1.092408,0.118152,0.749836,0.224221,1.044000,0.070000,4972,0,4096,2,0,0,1,8,20,1775,1
144,2,connected_alpha,connected_35,1,1,0,0,3.287415,0.057112,1.068735,2.161339,1.434000,0.000000,4972,0,4096,3,0,0,2,9,20,1797,1
145,2,connected_alpha,connected_36,1,1,0,0,1.634779,0.143735,1.383243,0.107565,1.648000,0.000000,4972,0,4096,1,0,0,1,9,20,1877,1
146,2,connected_alpha,connected_37,1,1,0,0,2.542503,0.093408,1.761017,0.687862,2.555000,0.000000,4996,0,4096,1,0,0,3,10,20,1897,1
147,2,connected_alpha,connected_38,1,1,0,0,16.441993,0.052272,1.889750,14.499723,11.620000,5.323000,4996,0,4096,1,0,0,1,10,20,1948,1
148,2,connected_alpha,connected_39,1,1,0,0,2.361241,0.308475,1.877354,0.175187,2.588000,0.000000,4996,0,4096,1,0,0,1,10,20,1963,1
149,2,connected_alpha,connected_40,1,1,0,0,1.837188,0.150721,1.281952,0.404285,1.386000,0.434000,4996,0,4096,1,0,0,1,10,20,1979,1
150,2,connected_alpha,connected_41,1,1,0,0,2.225529,0.068548,1.845898,0.310840,0.000000,2.268000,4996,0,4096,1,0,0,3,11,20,1998,1
151,2,connected_alpha,connected_42,1,1,0,0,4.065207,0.067600,1.737647,2.259754,0.318000,1.728000,4996,0,4096,1,0,0,1,11,20,2065,1
152,2,connected_alpha,connected_43,1,1,0,0,3.011383,0.109416,2.060416,0.841322,1.249000,1.632000,5004,0,4096,1,0,0,3,12,20,2079,1
153,2,connected_alpha,connected_44,1,1,0,0,16.152463,0.070229,2.831708,13.250299,3.681000,13.125000,5004,0,4096,1,0,0,3,13,20,2126,1
154,2,connected_alpha,connected_45,1,1,0,0,2.747256,0.333766,2.060326,0.352940,1.154000,1.616000,5004,0,4096,3,0,0,2,14,20,2172,1
155,2,connected_alpha,connected_46,1,1,0,0,1.999268,0.119873,1.654281,0.224867,2.025000,0.000000,5012,0,4096,2,0,0,1,14,20,2217,1
156,2,connected_alpha,connected_47,1,1,0,0,5.250263,0.077656,2.840815,2.331548,3.188000,0.000000,5012,0,4096,1,0,0,1,14,20,2239,1
157,2,connected_alpha,connected_00,1,0,1,0,0.243225,0.088836,0.000186,0.153996,0.264000,0.000000,5012,0,4096,1,0,0,0,14,20,2242,1
158,2,connected_alpha,connected_01,1,0,1,0,0.668618,0.032413,0.000239,0.635776,0.306000,0.384000,5032,0,4096,1,0,0,0,14,20,2245,1
159,2,connected_alpha,connected_02,1,0,1,0,11.761441,0.034046,0.000394,11.726712,7.579000,5.313000,5032,0,4096,1,0,0,0,14,20,2238,1
160,2,connected_alpha,connected_03,1,0,1,0,0.231276,0.094903,0.000098,0.136081,0.256000,0.000000,5032,0,4096,1,0,0,0,14,20,2236,1
161,2,connected_alpha,connected_04,1,0,1,0,0.371372,0.076813,0.000155,0.294189,0.383000,0.000000,5032,0,4096,1,0,0,0,14,20,2235,1
162,2,connected_alpha,connected_05,1,0,1,0,0.361465,0.033904,0.000267,0.327059,0.368000,0.000000,5032,0,4096,1,0,0,0,14,20,2237,1
163,2,connected_alpha,connected_06,1,0,1,0,2.416395,0.066891,0.000462,2.348802,0.668000,0.000000,5032,0,4096,1,0,0,0,14,20,2246,1
164,2,connected_alpha,connected_07,1,0,1,0,0.653241,0.034906,0.000217,0.617912,0.669000,0.000000,5032,0,4096,1,0,0,0,14,20,2243,1
165,2,connected_alpha,connected_08,1,0,1,0,12.833732,0.035688,0.000435,12.797418,2.663000,8.524000,5032,0,8192,1,0,0,0,14,20,2241,1
166,2,connected_alpha,connected_09,1,0,1,0,0.478861,0.132392,0.000138,0.346117,0.216000,0.243000,5032,0,4096,1,0,0,0,14,20,2236,1
167,2,connected_alpha,connected_10,1,0,1,0,0.255604,0.064822,0.000195,0.190369,0.126000,0.142000,5032,0,4096,1,0,0,0,14,20,2234,1
168,2,connected_alpha,connected_11,1,0,1,0,2.414068,0.033856,0.000418,2.379576,0.456000,0.000000,5032,0,4096,1,0,0,0,14,20,2239,1
169,2,connected_alpha,connected_12,1,0,1,0,0.169253,0.034452,0.000080,0.134497,0.184000,0.000000,5032,0,4096,1,0,0,0,14,20,2242,1
170,2,connected_alpha,connected_13,1,0,1,0,0.642675,0.063248,0.000196,0.578918,0.658000,0.000000,5032,0,4096,1,0,0,0,14,20,2245,1
171,2,connected_alpha,connected_14,1,0,1,0,10.754242,0.033553,0.000463,10.720025,7.972000,3.211000,5032,0,4096,1,0,0,0,14,20,2238,1
172,2,connected_alpha,connected_15,1,0,1,0,0.238259,0.096081,0.000097,0.141883,0.135000,0.140000,5032,0,4096,1,0,0,0,14,20,2236,1
173,2,connected_alpha,connected_16,1,0,1,0,0.295993,0.056480,0.000094,0.239180,0.000000,0.306000,5032,0,4096,1,0,0,0,14,20,2235,1
