episode,task,success,semantic,structural_change,state,candidate,wall_ms,cpu_ms,theta,derived,uniform
65,online_http,1,1,0,DESCENT,0,11.4101,9.225,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
66,online_http,1,1,0,DESCENT,0,10.4538,9.216,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
67,online_http,1,1,0,DESCENT,1,10.9696,9.335,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
68,online_http,1,1,0,DESCENT,0,10.975,9.339,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
69,online_http,1,1,0,DESCENT,0,11.2697,9.349,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
70,online_http,1,1,0,DESCENT,1,11.2934,9.323,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
71,online_http,1,1,0,DESCENT,1,11.3998,9.414,r=256;w=16384;s=256;sum=0;ext=0;proc=0;timer=800,11,1
72,online_http,1,1,0,DESCENT,1,11.8539,9.373,r=256;w=1024;s=1024;sum=0;ext=0;proc=0;timer=800,11,1
73,online_http,1,1,0,DESCENT,1,9.66247,8.299,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
74,online_http,1,1,0,DESCENT,0,16.6267,8.639,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
75,online_http,1,1,0,DESCENT,0,10.6545,8.979,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
76,online_http,1,1,0,DESCENT,1,12.0034,10.376,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
77,online_http,1,1,0,DESCENT,1,9.65913,8.281,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
78,online_http,1,1,0,DESCENT,1,10.911,9.207,r=256;w=4096;s=256;sum=1;ext=0;proc=0;timer=800,11,1
79,online_http,1,1,0,DESCENT,0,10.4431,8.78,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
80,online_http,1,1,0,DESCENT,0,11.1463,9.26,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
81,online_http,1,1,0,DESCENT,1,10.0506,8.714,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
82,online_http,1,1,0,DESCENT,1,10.5648,8.462,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
83,online_http,1,1,0,DESCENT,0,11.751,9.387,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
84,online_http,1,1,0,DESCENT,0,10.6976,9.044,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
85,online_http,1,1,0,DESCENT,1,10.7762,9.032,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=800,11,1
86,online_http,1,1,0,DESCENT,1,10.6307,8.927,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
87,online_http,1,1,0,DESCENT,1,10.9073,9.307,r=256;w=256;s=128;sum=1;ext=0;proc=0;timer=800,11,1
88,online_http,1,1,0,DESCENT,1,9.44144,7.743,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800,11,1
89,online_http,1,1,0,DESCENT,0,9.88931,8.251,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800,11,1
90,online_http,1,1,0,DESCENT,0,9.73441,8.111,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800,11,1
91,online_http,1,1,0,DESCENT,1,9.662,8.149,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
92,online_http,1,1,0,DESCENT,1,9.94833,8.326,r=256;w=256;s=1024;sum=1;ext=0;proc=0;timer=800,11,1
93,online_http,1,1,0,DESCENT,1,18.2102,16.612,r=256;w=256;s=512;sum=0;ext=0;proc=0;timer=800,11,1
94,online_http,1,1,0,DESCENT,1,10.2712,8.244,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
95,online_http,1,1,0,DESCENT,1,10.0682,8.528,r=256;w=512;s=512;sum=1;ext=0;proc=0;timer=800,11,1
96,online_http,1,1,0,DESCENT,1,10.5486,8.738,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
97,online_http,1,1,0,DESCENT,1,10.2881,8.532,r=256;w=256;s=1024;sum=1;ext=0;proc=0;timer=800,11,1
98,online_http,1,1,0,DESCENT,1,12.3113,10.333,r=256;w=256;s=512;sum=0;ext=0;proc=0;timer=800,11,1
99,online_http,1,1,0,DESCENT,1,9.13587,7.856,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
100,online_http,1,1,0,DESCENT,1,9.60975,8.156,r=256;w=512;s=512;sum=1;ext=0;proc=0;timer=800,11,1
101,online_http,1,1,0,DESCENT,0,9.85932,8.033,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
102,online_http,1,1,0,DESCENT,0,8.83413,7.723,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
103,online_http,1,1,0,DESCENT,1,9.23773,7.671,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800,11,1
104,online_http,1,1,0,DESCENT,1,9.90463,8.525,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=800,11,1
105,online_http,1,1,0,DESCENT,1,9.0125,7.608,r=256;w=128;s=1024;sum=1;ext=0;proc=0;timer=800,11,1
106,online_http,1,1,0,DESCENT,1,10.9638,9.114,r=256;w=128;s=512;sum=0;ext=0;proc=0;timer=800,11,1
107,online_http,1,1,0,DESCENT,1,9.18753,7.593,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800,11,1
108,online_http,1,1,0,DESCENT,1,10.129,8.577,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=800,11,1
109,online_http,1,1,0,DESCENT,1,9.73728,8.141,r=256;w=128;s=1024;sum=1;ext=0;proc=0;timer=800,11,1
110,online_http,1,1,0,CONVERGED,1,12.0282,10.115,r=256;w=128;s=512;sum=0;ext=0;proc=0;timer=800,11,1
111,online_http,1,1,0,CONVERGED,0,19.7507,7.894,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
112,online_http,1,1,0,CONVERGED,0,11.4857,9.141,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
113,online_http,1,1,0,CONVERGED,0,10.5443,8.06,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
114,online_http,1,1,0,CONVERGED,0,11.5493,9.769,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
115,online_http,1,1,0,CONVERGED,0,24.2884,22.733,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
116,online_http,1,1,0,CONVERGED,0,10.0795,7.94,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
117,online_http,1,1,0,CONVERGED,0,10.4279,8.101,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
118,online_http,1,1,0,CONVERGED,0,18.6656,10.368,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
119,online_http,1,1,0,CONVERGED,0,11.8705,9.479,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
120,online_http,1,1,0,CONVERGED,0,9.53881,8.04,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800,11,1
121,online_hash,1,3,1,DEVELOPING,0,38.104,37.619,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
122,online_hash,1,1,0,DEVELOPING,0,31.0332,30.541,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
123,online_hash,1,1,0,DEVELOPING,0,29.2023,28.144,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
124,online_hash,1,1,0,DESCENT,0,26.9047,25.922,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
125,online_hash,1,1,0,DESCENT,0,25.9086,24.951,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
126,online_hash,1,1,0,DESCENT,0,26.0839,39.622,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
127,online_hash,1,1,0,DESCENT,1,26.2912,25.732,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
128,online_hash,1,1,0,DESCENT,1,25.6611,24.907,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
129,online_hash,1,1,0,DESCENT,0,26.4646,24.791,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
130,online_hash,1,1,0,DESCENT,0,25.7597,24.627,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
131,online_hash,1,1,0,DESCENT,1,28.1544,26.783,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
132,online_hash,1,1,0,DESCENT,1,22.4919,20.949,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
133,online_hash,1,1,0,DESCENT,0,22.5631,20.496,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
134,online_hash,1,1,0,DESCENT,0,24.5878,22.716,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
135,online_hash,1,1,0,DESCENT,1,27.9119,27.316,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
136,online_hash,1,1,0,DESCENT,1,23.9811,22.552,r=256;w=128;s=256;sum=1;ext=0;proc=1;timer=800,11,1
137,online_hash,1,1,0,DESCENT,1,26.2406,24.332,r=256;w=512;s=256;sum=1;ext=0;proc=1;timer=800,11,1
138,online_hash,1,1,0,DESCENT,1,22.4896,21.209,r=256;w=256;s=256;sum=0;ext=0;proc=1;timer=800,11,1
139,online_hash,1,1,0,DESCENT,1,26.3085,24.944,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
140,online_hash,1,1,0,DESCENT,1,23.7756,21.766,r=256;w=128;s=256;sum=1;ext=0;proc=1;timer=800,11,1
141,online_hash,1,1,0,DESCENT,1,26.3262,24.69,r=256;w=512;s=256;sum=1;ext=0;proc=1;timer=800,11,1
142,online_hash,1,1,0,CONVERGED,1,23.4948,21.57,r=256;w=256;s=256;sum=0;ext=0;proc=1;timer=800,11,1
143,online_hash,1,1,0,CONVERGED,0,23.7372,22.479,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
144,online_hash,1,1,0,CONVERGED,0,22.147,20.649,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
145,online_hash,1,1,0,CONVERGED,0,20.4381,18.955,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
146,online_hash,1,1,0,CONVERGED,0,23.5401,21.817,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
147,online_hash,1,1,0,CONVERGED,0,23.4967,21.596,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
148,online_hash,1,1,0,CONVERGED,0,23.9464,22.41,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
149,online_hash,1,1,0,CONVERGED,0,31.925,20.664,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
150,online_hash,1,1,0,CONVERGED,0,22.4874,21.039,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
151,online_hash,1,1,0,CONVERGED,0,24.9016,23.093,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
152,online_hash,1,1,0,CONVERGED,0,25.1337,23.6,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
153,online_hash,1,1,0,CONVERGED,0,22.123,20.952,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
154,online_hash,1,1,0,CONVERGED,0,25.0754,23.708,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
155,online_hash,1,1,0,CONVERGED,0,24.9277,22.522,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
156,online_hash,1,1,0,CONVERGED,0,22.926,21.208,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
157,online_hash,1,1,0,CONVERGED,0,22.1849,20.776,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
158,online_hash,1,1,0,CONVERGED,0,22.4524,20.413,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
159,online_hash,1,1,0,CONVERGED,0,22.6804,21.3,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
160,online_hash,1,1,0,CONVERGED,0,22.2091,20.677,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
161,online_hash,1,1,0,CONVERGED,0,37.8779,36.569,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
162,online_hash,1,1,0,CONVERGED,0,27.0652,25.128,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
163,online_hash,1,1,0,CONVERGED,0,37.6864,21.647,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
164,online_hash,1,1,0,CONVERGED,0,21.0678,20.069,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
165,online_hash,1,1,0,CONVERGED,0,28.1806,22.289,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
166,online_hash,1,1,0,CONVERGED,0,27.6056,26.018,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
167,online_hash,1,1,0,CONVERGED,0,24.2664,21.248,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
168,online_hash,1,1,0,CONVERGED,0,27.8749,26.144,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
169,online_hash,1,1,0,CONVERGED,0,24.7329,21.804,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
170,online_hash,1,1,0,CONVERGED,0,21.9287,19.802,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
171,online_hash,1,1,0,CONVERGED,0,23.1859,21.372,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
172,online_hash,1,1,0,CONVERGED,0,23.5909,22.121,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
173,online_hash,1,1,0,CONVERGED,0,25.8812,23.065,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
174,online_hash,1,1,0,CONVERGED,0,27.6493,23.999,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
175,online_hash,1,1,0,CONVERGED,0,23.222,21.111,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800,11,1
176,online_proc,1,2,1,DEVELOPING,0,2.33083,0.531,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
177,online_proc,1,1,0,DEVELOPING,0,1.84539,0.24,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
178,online_proc,1,1,0,DEVELOPING,0,1.72498,0.194,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
179,online_proc,1,1,0,DESCENT,0,1.02696,0.163,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
180,online_proc,1,1,0,DESCENT,0,1.3678,0.212,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
181,online_proc,1,1,0,DESCENT,0,1.0883,0.166,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
182,online_proc,1,1,0,DESCENT,1,0.890222,0.147,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
183,online_proc,1,1,0,DESCENT,0,4.54442,0.219,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
184,online_proc,1,1,0,DESCENT,0,1.8504,0.198,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
185,online_proc,1,1,0,DESCENT,1,1.23828,0.167,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
186,online_proc,1,1,0,DESCENT,1,1.70127,0.255,r=16384;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
187,online_proc,1,1,0,DESCENT,0,1.53971,0.186,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
188,online_proc,1,1,0,DESCENT,0,1.64601,0.193,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
189,online_proc,1,1,0,DESCENT,1,1.69404,0.185,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
190,online_proc,1,1,0,DESCENT,1,1.47898,0.162,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
191,online_proc,1,1,0,DESCENT,0,1.45487,0.188,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
192,online_proc,1,1,0,DESCENT,0,1.52742,0.247,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
193,online_proc,1,1,0,DESCENT,1,1.70538,0.175,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
194,online_proc,1,1,0,DESCENT,1,1.5638,0.222,r=256;w=16384;s=256;sum=0;ext=0;proc=0;timer=800,11,1
195,online_proc,1,1,0,DESCENT,1,1.3326,0.161,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
196,online_proc,1,1,0,DESCENT,0,1.72384,0.162,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
197,online_proc,1,1,0,DESCENT,0,2.42201,0.165,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
198,online_proc,1,1,0,DESCENT,1,1.90325,0.172,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
199,online_proc,1,1,0,DESCENT,1,1.63305,0.161,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
200,online_proc,1,1,0,DESCENT,1,1.89553,0.159,r=512;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
201,online_proc,1,1,0,DESCENT,0,1.00097,0.143,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
202,online_proc,1,1,0,DESCENT,0,0.964529,0.141,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
203,online_proc,1,1,0,DESCENT,1,1.44835,0.156,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
204,online_proc,1,1,0,DESCENT,1,2.04715,0.184,r=128;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
205,online_proc,1,1,0,DESCENT,1,1.51732,0.188,r=128;w=4096;s=256;sum=1;ext=0;proc=0;timer=800,11,1
206,online_proc,1,1,0,DESCENT,1,1.73237,0.222,r=128;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
207,online_proc,1,1,0,DESCENT,1,1.32541,0.167,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
208,online_proc,1,1,0,DESCENT,1,1.48233,0.165,r=128;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
209,online_proc,1,1,0,DESCENT,1,1.13624,0.147,r=128;w=4096;s=256;sum=1;ext=0;proc=0;timer=800,11,1
210,online_proc,1,1,0,CONVERGED,1,1.19777,0.149,r=128;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
