episode,coordinate,event,baseline_cost,observed_cost,delta,theta
72,socket_chunk,probe,11.9089,12.7912,0.882316,r=256;w=1024;s=1024;sum=0;ext=0;proc=0;timer=800
72,socket_chunk,shrink,11.9089,11.9089,0,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
73,summary_impl,probe,11.9089,10.4924,-1.41654,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
73,summary_impl,commit,11.9089,10.4924,-1.41654,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
76,summary_impl,probe,11.5524,13.041,1.48859,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
76,summary_impl,stable,11.5524,11.5524,0,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
77,write_chunk,probe,11.5524,10.4872,-1.06514,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800
78,write_chunk,probe,11.5524,11.8317,0.279349,r=256;w=4096;s=256;sum=1;ext=0;proc=0;timer=800
78,write_chunk,commit,11.5524,10.4872,-1.06514,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800 -> r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800
81,write_chunk,probe,11.3211,10.922,-0.399053,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
82,write_chunk,probe,11.3211,11.411,0.089932,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
82,write_chunk,commit,11.3211,10.922,-0.399053,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800 -> r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
85,write_chunk,probe,11.602,11.6794,0.07742,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=800
86,write_chunk,probe,11.602,11.5234,-0.078587,r=256;w=512;s=256;sum=1;ext=0;proc=0;timer=800
86,write_chunk,stable,11.602,11.602,0,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
87,socket_chunk,probe,11.602,11.838,0.236017,r=256;w=256;s=128;sum=1;ext=0;proc=0;timer=800
88,socket_chunk,probe,11.602,10.2157,-1.38628,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
88,socket_chunk,commit,11.602,10.2157,-1.38628,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800 -> r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
91,socket_chunk,probe,10.5455,10.4769,-0.068614,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
92,socket_chunk,probe,10.5455,10.7809,0.23542,r=256;w=256;s=1024;sum=1;ext=0;proc=0;timer=800
92,socket_chunk,stable,10.5455,10.5455,0,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
93,summary_impl,probe,10.5455,19.8715,9.32594,r=256;w=256;s=512;sum=0;ext=0;proc=0;timer=800
93,summary_impl,stable,10.5455,10.5455,0,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
94,write_chunk,probe,10.5455,11.0956,0.550054,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
95,write_chunk,probe,10.5455,10.921,0.375455,r=256;w=512;s=512;sum=1;ext=0;proc=0;timer=800
95,write_chunk,stable,10.5455,10.5455,0,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
96,socket_chunk,probe,10.5455,11.4224,0.876866,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
97,socket_chunk,probe,10.5455,11.1413,0.595808,r=256;w=256;s=1024;sum=1;ext=0;proc=0;timer=800
97,socket_chunk,stable,10.5455,10.5455,0,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
98,summary_impl,probe,10.5455,13.3446,2.79906,r=256;w=256;s=512;sum=0;ext=0;proc=0;timer=800
98,summary_impl,stable,10.5455,10.5455,0,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
99,write_chunk,probe,10.5455,9.92147,-0.624038,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
100,write_chunk,probe,10.5455,10.4254,-0.120155,r=256;w=512;s=512;sum=1;ext=0;proc=0;timer=800
100,write_chunk,commit,10.5455,9.92147,-0.624038,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800 -> r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
103,write_chunk,probe,9.92147,10.0048,0.083359,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
103,write_chunk,stable,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
104,socket_chunk,probe,9.92147,10.7571,0.835655,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=800
105,socket_chunk,probe,9.92147,9.7733,-0.148175,r=256;w=128;s=1024;sum=1;ext=0;proc=0;timer=800
105,socket_chunk,stable,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
106,summary_impl,probe,9.92147,11.8752,1.95376,r=256;w=128;s=512;sum=0;ext=0;proc=0;timer=800
106,summary_impl,stable,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
107,write_chunk,probe,9.92147,9.94683,0.025361,r=256;w=256;s=512;sum=1;ext=0;proc=0;timer=800
107,write_chunk,stable,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
108,socket_chunk,probe,9.92147,10.9867,1.06526,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=800
109,socket_chunk,probe,9.92147,10.5514,0.629903,r=256;w=128;s=1024;sum=1;ext=0;proc=0;timer=800
109,socket_chunk,stable,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
110,summary_impl,probe,9.92147,13.0397,3.11819,r=256;w=128;s=512;sum=0;ext=0;proc=0;timer=800
110,summary_impl,stable,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
110,ALL,converged,9.92147,9.92147,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
127,write_chunk,probe,29.4969,28.8644,-0.632477,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
127,write_chunk,shrink,29.4969,29.4969,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
128,summary_impl,probe,29.4969,28.1518,-1.34505,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
128,summary_impl,commit,29.4969,28.1518,-1.34505,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
131,summary_impl,probe,28.2224,30.8327,2.61024,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
131,summary_impl,stable,28.2224,28.2224,0,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
132,process_impl,probe,28.2224,24.5868,-3.63566,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
132,process_impl,commit,28.2224,24.5868,-3.63566,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800 -> r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
135,process_impl,probe,24.6127,30.6435,6.03084,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
135,process_impl,stable,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
136,write_chunk,probe,24.6127,26.2363,1.62362,r=256;w=128;s=256;sum=1;ext=0;proc=1;timer=800
137,write_chunk,probe,24.6127,28.6738,4.06113,r=256;w=512;s=256;sum=1;ext=0;proc=1;timer=800
137,write_chunk,stable,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
138,summary_impl,probe,24.6127,24.6105,-0.002149,r=256;w=256;s=256;sum=0;ext=0;proc=1;timer=800
138,summary_impl,stable,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
139,process_impl,probe,24.6127,28.8029,4.1902,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
139,process_impl,stable,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
140,write_chunk,probe,24.6127,25.9522,1.33947,r=256;w=128;s=256;sum=1;ext=0;proc=1;timer=800
141,write_chunk,probe,24.6127,28.7952,4.18252,r=256;w=512;s=256;sum=1;ext=0;proc=1;timer=800
141,write_chunk,stable,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
142,summary_impl,probe,24.6127,25.6518,1.03911,r=256;w=256;s=256;sum=0;ext=0;proc=1;timer=800
142,summary_impl,stable,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
142,ALL,converged,24.6127,24.6127,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
182,read_chunk,probe,1.10489,0.904922,-0.199973,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
182,read_chunk,commit,1.10489,0.904922,-0.199973,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
185,read_chunk,probe,1.8702,1.25498,-0.615219,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
186,read_chunk,probe,1.8702,1.72677,-0.14343,r=16384;w=256;s=256;sum=0;ext=0;proc=0;timer=800
186,read_chunk,commit,1.8702,1.25498,-0.615219,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
189,read_chunk,probe,1.55831,1.71254,0.15423,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
189,read_chunk,shrink,1.55831,1.55831,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
190,write_chunk,probe,1.55831,1.49518,-0.063136,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
190,write_chunk,commit,1.55831,1.49518,-0.063136,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
193,write_chunk,probe,1.49518,1.72288,0.227702,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
194,write_chunk,probe,1.49518,1.586,0.090819,r=256;w=16384;s=256;sum=0;ext=0;proc=0;timer=800
194,write_chunk,shrink,1.49518,1.49518,0,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
195,summary_impl,probe,1.49518,1.3487,-0.146476,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
195,summary_impl,commit,1.49518,1.3487,-0.146476,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
198,summary_impl,probe,1.74004,1.92045,0.180408,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
198,summary_impl,stable,1.74004,1.74004,0,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
199,read_chunk,probe,1.74004,1.64915,-0.090889,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
200,read_chunk,probe,1.74004,1.91144,0.171397,r=512;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
200,read_chunk,commit,1.74004,1.64915,-0.090889,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800 -> r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
203,read_chunk,probe,1.01527,1.46395,0.448673,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
203,read_chunk,stable,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
204,write_chunk,probe,1.01527,2.06555,1.05028,r=128;w=512;s=256;sum=1;ext=0;proc=0;timer=800
205,write_chunk,probe,1.01527,1.53612,0.520846,r=128;w=4096;s=256;sum=1;ext=0;proc=0;timer=800
205,write_chunk,stable,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
206,summary_impl,probe,1.01527,1.75457,0.739292,r=128;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
206,summary_impl,stable,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
207,read_chunk,probe,1.01527,1.34211,0.326834,r=256;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
207,read_chunk,stable,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
208,write_chunk,probe,1.01527,1.49883,0.483559,r=128;w=512;s=256;sum=1;ext=0;proc=0;timer=800
209,write_chunk,probe,1.01527,1.15094,0.135671,r=128;w=4096;s=256;sum=1;ext=0;proc=0;timer=800
209,write_chunk,stable,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
210,summary_impl,probe,1.01527,1.21267,0.1974,r=128;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
210,summary_impl,stable,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
210,ALL,converged,1.01527,1.01527,0,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800
237,write_chunk,probe,4.39334,5.22923,0.835887,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
237,write_chunk,shrink,4.39334,4.39334,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
238,summary_impl,probe,4.39334,5.14367,0.750328,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800
238,summary_impl,stable,4.39334,4.39334,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
239,timer_quantum,probe,4.39334,3.9521,-0.441238,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200
239,timer_quantum,commit,4.39334,3.9521,-0.441238,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200
242,timer_quantum,probe,3.9521,4.50214,0.550039,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
243,timer_quantum,probe,3.9521,5.73508,1.78298,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50
243,timer_quantum,shrink,3.9521,3.9521,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200
244,write_chunk,probe,3.9521,5.22338,1.27128,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=200
245,write_chunk,probe,3.9521,3.99176,0.039657,r=256;w=512;s=256;sum=0;ext=0;proc=0;timer=200
245,write_chunk,stable,3.9521,3.9521,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200
246,summary_impl,probe,3.9521,4.33374,0.381632,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=200
246,summary_impl,stable,3.9521,3.9521,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200
247,timer_quantum,probe,3.9521,3.99373,0.041628,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=400
248,timer_quantum,probe,3.9521,3.75336,-0.198741,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100
248,timer_quantum,commit,3.9521,3.75336,-0.198741,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200 -> r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100
251,timer_quantum,probe,3.69984,3.6405,-0.059347,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200
252,timer_quantum,probe,3.69984,3.37314,-0.326709,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50
252,timer_quantum,commit,3.69984,3.37314,-0.326709,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100 -> r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50
255,timer_quantum,probe,3.65809,3.69826,0.040167,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100
256,timer_quantum,probe,3.65809,3.76272,0.10463,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=25
256,timer_quantum,stable,3.65809,3.65809,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50
257,write_chunk,probe,3.65809,3.37518,-0.28291,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50
258,write_chunk,probe,3.65809,6.97079,3.3127,r=256;w=512;s=256;sum=0;ext=0;proc=0;timer=50
258,write_chunk,commit,3.65809,3.37518,-0.28291,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50 -> r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50
261,write_chunk,probe,3.80226,3.87216,0.0699,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50
261,write_chunk,stable,3.80226,3.80226,0,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50
262,summary_impl,probe,3.80226,3.57623,-0.226031,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
262,summary_impl,commit,3.80226,3.57623,-0.226031,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50 -> r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
265,summary_impl,probe,3.57623,6.39924,2.82301,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50
265,summary_impl,stable,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
266,timer_quantum,probe,3.57623,4.68693,1.1107,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=100
267,timer_quantum,probe,3.57623,4.08639,0.510157,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=25
267,timer_quantum,stable,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
268,write_chunk,probe,3.57623,3.83124,0.255004,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=50
268,write_chunk,stable,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
269,summary_impl,probe,3.57623,4.67186,1.09563,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50
269,summary_impl,stable,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
270,timer_quantum,probe,3.57623,3.97217,0.395934,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=100
271,timer_quantum,probe,3.57623,5.59745,2.02121,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=25
271,timer_quantum,stable,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
272,write_chunk,probe,3.57623,3.6978,0.121571,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=50
272,write_chunk,stable,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
272,ALL,converged,3.57623,3.57623,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
