episode,day,day_name,task,category,manual_minutes,success,first_seen,semantic,recovery,repair,structural_change,planner_ms,consolidation_ms,executor_ms,wall_ms,attention_seconds,permanent_words,provisional_words,structure_bytes,rss_kb,read_bytes,write_bytes,uniform
42,3,Thu Aug 20,system_health,system,4.000000,1,0,1,0,0,0,0.006895,0.000073,0.199440,0.206589,4.000000,2,18,1188,4620,0,4096,1
43,3,Thu Aug 20,backup_verify,system,3.000000,1,0,1,0,0,0,0.006763,0.000471,12.262211,12.269664,4.000000,2,18,1158,4620,0,4096,1
44,3,Thu Aug 20,local_sync,office,3.000000,1,0,1,0,0,0,0.050768,0.000363,0.801515,0.852833,4.000000,2,18,1158,4620,0,4096,1
45,3,Thu Aug 20,ad_hoc_0,project,4.000000,1,1,1,0,0,3,0.198944,0.428018,0.283134,0.910293,30.000000,3,18,1163,4620,0,8192,1
46,3,Thu Aug 20,ad_hoc_1,project,6.000000,1,1,4,0,0,3,0.131377,0.384494,0.294675,0.810761,39.000000,4,19,1239,4624,0,4096,1
47,3,Thu Aug 20,ad_hoc_2,project,8.000000,1,1,2,0,0,4,0.040213,1.003996,3.044806,4.089246,33.000000,4,18,1302,4624,0,4096,1
48,3,Thu Aug 20,ad_hoc_3,project,4.000000,1,1,2,0,0,3,0.093716,0.669907,0.719711,1.483539,33.000000,5,18,1293,4632,0,4096,1
49,3,Thu Aug 20,ad_hoc_4,project,6.000000,1,1,3,0,0,3,0.046355,1.036071,22.057222,23.139890,36.000000,5,18,1341,4632,0,4096,1
50,3,Thu Aug 20,ad_hoc_5,project,8.000000,1,1,1,0,0,2,0.146070,0.688228,0.410355,1.244872,30.000000,5,19,1343,4632,0,4096,1
51,3,Thu Aug 20,ad_hoc_6,project,4.000000,1,1,2,0,0,2,0.076786,0.509953,0.229698,0.816664,33.000000,5,20,1354,4640,0,4096,1
52,3,Thu Aug 20,ad_hoc_7,project,6.000000,1,1,3,0,0,2,0.086957,0.625595,2.247103,2.959850,36.000000,5,19,1375,4640,0,4096,1
53,3,Thu Aug 20,ad_hoc_8,project,8.000000,1,1,2,0,0,2,0.091567,0.775832,0.106680,0.974310,33.000000,5,20,1390,4640,0,4096,1
54,3,Thu Aug 20,ad_hoc_9,project,4.000000,1,1,3,0,0,1,0.084994,0.771803,0.758262,1.615264,36.000000,5,20,1405,4664,0,4096,1
55,3,Thu Aug 20,closeout,office,6.000000,1,0,1,0,0,0,0.013602,0.000197,0.218314,0.232318,4.000000,5,20,1418,4664,0,4096,1
56,4,Fri Aug 21,morning_digest,information,12.000000,1,0,1,0,0,0,0.012738,0.000285,0.552293,0.565527,4.000000,5,20,1439,4664,0,4096,1
57,4,Fri Aug 21,report_intake,office,8.000000,1,0,1,0,0,0,0.014970,0.000079,0.185230,0.200451,4.000000,5,20,1458,4664,0,4096,1
58,4,Fri Aug 21,system_health,system,4.000000,1,0,1,0,0,0,0.013002,0.000066,0.133063,0.146317,4.000000,5,20,1468,4664,0,4096,1
59,4,Fri Aug 21,project_alpha,project,9.000000,1,0,2,1,0,1,0.024405,0.000417,14.227542,14.252625,27.000000,5,20,1476,4664,0,4096,1
60,4,Fri Aug 21,project_alpha,project,9.000000,1,0,1,0,0,0,0.084160,0.000709,12.318746,12.403789,4.000000,5,20,1476,4664,0,4096,1
61,4,Fri Aug 21,friday_job_0,project,5.000000,1,1,2,0,0,2,0.510948,1.242651,11.789651,13.543511,33.000000,6,20,1480,4664,0,4096,1
62,4,Fri Aug 21,friday_job_1,project,6.000000,1,1,1,0,0,3,0.258783,1.032778,0.345047,1.636814,30.000000,7,20,1567,4664,0,4096,1
63,4,Fri Aug 21,friday_job_2,project,7.000000,1,1,1,0,0,1,0.109347,0.848794,0.289601,1.247991,30.000000,7,20,1606,4664,0,4096,1
64,4,Fri Aug 21,friday_job_3,project,8.000000,1,1,3,0,0,2,0.061138,1.153726,2.354837,3.569952,36.000000,8,20,1622,4664,0,4096,1
65,4,Fri Aug 21,friday_job_4,project,5.000000,1,1,1,0,0,1,0.058378,1.042600,2.297172,3.398424,30.000000,8,20,1695,4664,0,4096,1
66,4,Fri Aug 21,friday_job_5,project,6.000000,1,1,3,0,0,4,0.088035,1.583277,1.052419,2.723936,36.000000,9,18,1706,4680,0,4096,1
67,4,Fri Aug 21,friday_job_6,project,7.000000,1,1,3,0,0,2,0.100722,1.882838,12.548603,14.532432,36.000000,9,19,1752,4680,0,4096,1
68,4,Fri Aug 21,friday_job_7,project,8.000000,1,1,2,0,0,2,0.229617,1.758047,0.091314,2.079218,33.000000,9,20,1778,4680,0,4096,1
69,4,Fri Aug 21,weekly_work_summary,office,15.000000,1,1,2,0,0,2,0.326359,2.585664,0.284030,3.196323,33.000000,9,19,1828,4680,0,4096,1
70,4,Fri Aug 21,backup_verify,system,3.000000,1,0,1,0,0,0,0.024150,0.000354,11.651737,11.676460,4.000000,9,19,1812,4680,0,4096,1
71,5,Sat Aug 22,morning_digest,information,8.000000,1,0,1,0,0,0,0.298308,0.000405,1.263885,1.562769,4.000000,9,19,1837,4684,0,4096,1
72,5,Sat Aug 22,system_health,system,3.000000,1,0,1,0,0,0,0.137543,0.000155,0.330185,0.468090,4.000000,9,19,1838,4684,0,4096,1
73,5,Sat Aug 22,backup_verify,system,3.000000,1,0,1,0,0,0,0.024886,0.000354,11.277417,11.302880,4.000000,9,19,1838,4684,0,4096,1
74,5,Sat Aug 22,weekend_cleanup,admin,6.000000,1,1,1,0,0,2,0.705950,2.009870,0.516019,3.232066,30.000000,9,20,1858,4684,0,4096,1
75,5,Sat Aug 22,reminder_refresh,admin,2.000000,1,0,1,0,0,0,0.024520,0.000222,2.410003,2.434937,4.000000,9,20,1856,4684,0,4096,1
76,6,Sun Aug 23,morning_digest,information,8.000000,1,0,1,0,0,0,0.085648,0.000222,0.981136,1.067208,4.000000,9,20,1856,4688,0,4096,1
77,6,Sun Aug 23,system_health,system,3.000000,1,0,1,0,0,0,0.039212,0.000225,0.307739,0.347360,4.000000,9,20,1856,4688,0,4096,1
78,6,Sun Aug 23,backup_verify,system,3.000000,1,0,1,0,0,0,0.061164,0.000466,13.545991,13.607917,4.000000,9,20,1856,4688,0,4096,1
79,6,Sun Aug 23,weekly_personal_summary,admin,10.000000,1,1,2,0,0,2,0.917801,3.220818,0.607053,4.745878,33.000000,9,19,1908,4688,0,4096,1
80,6,Sun Aug 23,next_week_prepare,admin,8.000000,1,1,1,0,0,2,0.290274,2.127185,2.451567,4.869241,30.000000,9,20,1939,4688,0,4096,1
81,6,Sun Aug 23,reminder_refresh,admin,2.000000,1,0,1,0,0,0,0.023735,0.000279,2.470389,2.494644,4.000000,9,20,1939,4688,0,4096,1
